smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Embedding-from-fingerprints,Embedding-from-gnn
COc1ccc(F)c(-c2ccc(COc3cc(C(CC(=O)O)C4CC4)ccc3F)nc2CC(C)(C)C)c1,9999,-1.0,-1.0,NotSolved,11.65480231264761,-1.0,2.0,382,72602,0.0,0.0,0.6418918918918919,0.2763961847407197,1.0
CCc1cc2nncc(N3CCc4[nH]nc(C(=O)NC5CC5)c4C3)c2cc1OC,296,61.0,10.256999777204124,009-011,9.335631608514705,6.0,2.0,61,4129,0.0,0.0,0.6776859504132231,0.18825722035643766,1.0
Clc1ccc(-n2cncn2)c(Cc2nc3c(NCCC4CCCCN4)nccc3o2)c1,9999,357.0,29.26021333940834,029-031,16.640865494658335,10.0,2.0,668,69684,0.0,0.0,0.7481481481481482,0.22131533169811224,1.0
CCOCc1nc2c(N)nc3ccc(O)cc3c2n1CC(C)(C)NS(C)(=O)=O,11,6.0,2.44789765717986,001-003,2.0315293248430963,6.0,1.0,6,287,0.0,0.0,0.6984126984126984,0.22283998389840642,1.0
O=C(O)CCNC(=O)c1nc(-c2ccncc2)c2c(cc(-c3ccccc3)c(=O)n2CC2CCCCC2)c1O,15,5.0,0.8760742747386606,000-001,0.8760742747386606,5.0,1.0,8,341,0.0,0.0,0.7317073170731707,0.21242002854173636,1.0
CC(C)CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,23,7.0,3.018194358905376,003-004,2.22099271050974,6.0,1.0,8,290,0.0,0.0,0.6826923076923077,0.08977571406132956,1.0
CCc1cc2c(Br)cnnc2cc1OC,17,8.0,4.1043913354212,004-006,3.586786769489331,5.0,1.0,8,496,0.0,0.0,0.7014925373134329,0.18773067632774687,1.0
CN(CCCOc1ccc(-c2cc3c(ncn3C)c(C#N)n2)cc1C(F)(F)F)C(=O)C1CCCCN1C,488,33.0,7.06151959467157,006-008,6.795936843300891,7.0,1.0,67,8894,0.0,0.0,0.7361963190184049,0.3355416439393525,1.0
CCCCCNc1nc(N)nc(C)c1Cc1ccc(CC(=O)OCCN(C)C)cc1,159,24.0,8.892421045733922,008-009,7.524655726173005,5.0,1.0,32,4599,0.0,0.0,0.676056338028169,0.3021618262780943,1.0
CCOC(=O)C1(c2ccc(-c3ccc(-c4onc(C)c4CCOCc4ccncc4)cc3)cc2)CC1,56,10.0,4.916654280868409,004-006,3.405911453294803,5.0,1.0,10,959,0.0,0.0,0.542483660130719,0.1518357168434752,1.0
